NUTS3;CODE
'BE334';'4252'
'BE328';'7602'
'BE344';'6851'
'BE234';'9932'
'BE252';'8600'
'BE258';'8670'
'BE234';'9881'
'BE332';'4122'
'BE32A';'7322'
'BE345';'6769'
'BE332';'4170'
'BE241';'1770'
'BE332';'4020'
'BE242';'3051'
'BE232';'9270'
'BE343';'6983'
'BE251';'8820'
'BE328';'7760'
'BE232';'9230'
'BE231';'9300'
'BE231';'9552'
'BE323';'7000'
'BE352';'5000'
'BE254';'8583'
'BE235';'9572'
'BE332';'4610'
'BE253';'8956'
'BE224';'3581'
'BE241';'1674'
'BE253';'8953'
'BE343';'6950'
'BE224';'3890'
'BE234';'9180'
'BE224';'3500'
'BE344';'6922'
'BE332';'4453'
'BE352';'5031'
'BE231';'9400'
'BE345';'6823'
'BE344';'6929'
'BE352';'5644'
'BE256';'8830'
'BE334';'4357'
'BE332';'4042'
'BE328';'7643'
'BE223';'3721'
'BE32D';'6531'
'BE323';'7382'
'BE100';'1210'
'BE310';'1332'
'BE310';'1350'
'BE223';'3793'
'BE352';'5350'
'BE253';'8920'
'BE223';'3870'
'BE352';'5100'
'BE351';'5572'
'BE335';'4860'
'BE328';'7540'
'BE329';'7140'
'BE251';'8310'
'BE211';'2170'
'BE212';'2800'
'BE241';'1702'
'BE352';'5004'
'BE351';'5530'
'BE258';'8660'
'BE253';'8952'
'BE225';'3530'
'BE32A';'7850'
'BE213';'2300'
'BE352';'5003'
'BE332';'4683'
'BE332';'4623'
'BE241';'1831'
'BE223';'3790'
'BE241';'1630'
'BE32A';'7972'
'BE336';'4750'
'BE345';'6824'
'BE331';'4162'
'BE241';'1933'
'BE234';'9051'
'BE211';'2000'
'BE341';'6792'
'BE212';'2220'
'BE344';'6920'
'BE328';'7610'
'BE233';'9982'
'BE310';'1348'
'BE242';'3290'
'BE223';'3832'
'BE351';'5550'
'BE232';'9280'
'BE256';'8890'
'BE233';'9900'
'BE254';'8792'
'BE242';'3300'
'BE336';'4783'
'BE32A';'7973'
'BE32B';'6211'
'BE310';'1495'
'BE331';'4163'
'BE213';'2460'
'BE234';'9820'
'BE331';'4520'
'BE335';'4910'
'BE253';'8980'
'BE234';'9070'
'BE257';'8851'
'BE351';'5362'
'BE32A';'7804'
'BE213';'2200'
'BE332';'4031'
'BE254';'8930'
'BE32B';'6044'
'BE242';'3128'
'BE328';'7502'
'BE211';'2180'
'BE213';'2360'
'BE242';'3001'
'BE32C';'7061'
'BE242';'3350'
'BE32C';'7191'
'BE328';'7782'
'BE211';'2531'
'BE242';'3381'
'BE332';'4032'
'BE32D';'6533'
'BE32D';'6511'
'BE224';'3511'
'BE213';'2323'
'BE332';'4621'
'BE236';'9100'
'BE241';'1570'
'BE100';'1190'
'BE236';'9111'
'BE255';'8421'
'BE241';'1671'
'BE353';'5650'
'BE236';'9140'
'BE32B';'6180'
'BE213';'2310'
'BE351';'5521'
'BE213';'2235'
'BE32D';'6500'
'BE345';'6723'
'BE223';'3631'
'BE252';'8680'
'BE32A';'7830'
'BE310';'1450'
'BE335';'4850'
'BE328';'7520'
'BE242';'3454'
'BE351';'5372'
'BE253';'8972'
'BE352';'5640'
'BE345';'6742'
'BE334';'4350'
'BE100';'1060'
'BE211';'2040'
'BE352';'5101'
'BE242';'3220'
'BE32A';'7860'
'BE234';'9920'
'BE323';'7300'
'BE323';'7350'
'BE352';'5354'
'BE32B';'6221'
'BE253';'8978'
'BE255';'8431'
'BE255';'8420'
'BE258';'8620'
'BE242';'3472'
'BE32B';'7160'
'BE32A';'7950'
'BE100';'1150'
