NUTS3;CODE
'BE353';'5650'
'BE353';'5651'
'BE353';'5660'
'BE353';'5670'
'BE353';'5680'
'BE211';'2000'
'BE211';'2018'
'BE211';'2020'
'BE211';'2030'
'BE211';'2040'
'BE211';'2050'
'BE211';'2060'
'BE211';'2070'
'BE211';'2100'
'BE211';'2110'
'BE211';'2140'
'BE211';'2150'
'BE211';'2160'
'BE211';'2170'
'BE211';'2180'
'BE211';'2240'
'BE211';'2242'
'BE211';'2243'
'BE211';'2390'
'BE211';'2520'
'BE211';'2530'
'BE211';'2531'
'BE211';'2540'
'BE211';'2547'
'BE211';'2550'
'BE211';'2600'
'BE211';'2610'
'BE211';'2620'
'BE211';'2627'
'BE211';'2630'
'BE211';'2640'
'BE211';'2650'
'BE211';'2660'
'BE211';'2840'
'BE211';'2845'
'BE211';'2850'
'BE211';'2900'
'BE211';'2910'
'BE211';'2920'
'BE211';'2930'
'BE211';'2940'
'BE211';'2950'
'BE211';'2960'
'BE211';'2970'
'BE211';'2980'
'BE211';'2990'
'BE232';'9200'
'BE232';'9220'
'BE232';'9230'
'BE232';'9240'
'BE232';'9250'
'BE232';'9255'
'BE232';'9260'
'BE232';'9270'
'BE232';'9280'
'BE232';'9290'
'BE242';'3000'
'BE242';'3001'
'BE242';'3010'
'BE242';'3012'
'BE242';'3018'
'BE242';'3020'
'BE242';'3040'
'BE242';'3050'
'BE242';'3051'
'BE242';'3052'
'BE242';'3053'
'BE242';'3054'
'BE242';'3060'
'BE242';'3061'
'BE242';'3070'
'BE242';'3071'
'BE242';'3078'
'BE242';'3080'
'BE242';'3110'
'BE242';'3111'
'BE242';'3118'
'BE242';'3120'
'BE242';'3128'
'BE242';'3130'
'BE242';'3140'
'BE242';'3150'
'BE242';'3190'
'BE242';'3191'
'BE242';'3200'
'BE242';'3201'
'BE242';'3202'
'BE242';'3210'
'BE242';'3211'
'BE242';'3212'
'BE242';'3220'
'BE242';'3221'
'BE242';'3270'
'BE242';'3271'
'BE242';'3272'
'BE242';'3290'
'BE242';'3293'
'BE242';'3294'
'BE242';'3300'
'BE242';'3320'
'BE242';'3321'
'BE242';'3350'
'BE242';'3360'
'BE242';'3370'
'BE242';'3380'
'BE242';'3381'
'BE242';'3384'
'BE242';'3390'
'BE242';'3391'
'BE242';'3400'
'BE242';'3401'
'BE242';'3404'
'BE242';'3440'
'BE242';'3450'
'BE242';'3454'
'BE242';'3460'
'BE242';'3461'
'BE242';'3470'
'BE242';'3471'
'BE242';'3472'
'BE242';'3473'
'BE257';'8700'
'BE257';'8720'
'BE257';'8740'
'BE257';'8750'
'BE257';'8755'
'BE257';'8760'
'BE257';'8780'
'BE257';'8850'
'BE257';'8851'
'BE32A';'7320'
'BE32A';'7321'
'BE32A';'7322'
'BE32A';'7800'
'BE32A';'7801'
'BE32A';'7802'
'BE32A';'7803'
'BE32A';'7804'
'BE32A';'7810'
'BE32A';'7811'
'BE32A';'7812'
'BE32A';'7822'
'BE32A';'7823'
'BE32A';'7830'
'BE32A';'7850'
'BE32A';'7860'
'BE32A';'7861'
'BE32A';'7862'
'BE32A';'7863'
'BE32A';'7864'
'BE32A';'7866'
'BE32A';'7880'
'BE32A';'7890'
'BE32A';'7910'
'BE32A';'7911'
'BE32A';'7912'
'BE32A';'7940'
'BE32A';'7941'
'BE32A';'7942'
'BE32A';'7943'
'BE32A';'7950'
'BE32A';'7951'
'BE32A';'7970'
'BE32A';'7971'
'BE32A';'7972'
'BE32A';'7973'
'BE335';'4650'
'BE335';'4651'
'BE335';'4652'
'BE335';'4653'
'BE335';'4654'
'BE335';'4770'
'BE335';'4800'
'BE335';'4801'
'BE335';'4802'
'BE335';'4820'
'BE335';'4821'
'BE335';'4830'
'BE335';'4831'
'BE335';'4834'
'BE335';'4837'
'BE335';'4840'
'BE335';'4841'
'BE335';'4845'
'BE335';'4850'
'BE335';'4851'
'BE335';'4852'
'BE335';'4860'
'BE335';'4861'
'BE335';'4870'
'BE335';'4877'
'BE335';'4880'
'BE335';'4890'
'BE335';'4900'
'BE335';'4910'
'BE335';'4950'
'BE335';'4960'
'BE335';'4970'
'BE335';'4980'
'BE335';'4983'
'BE335';'4987'
'BE335';'4990'
'BE345';'6720'
'BE345';'6721'
'BE345';'6723'
'BE345';'6724'
'BE345';'6730'
'BE345';'6740'
'BE345';'6741'
'BE345';'6742'
'BE345';'6743'
'BE345';'6747'
'BE345';'6750'
'BE345';'6760'
'BE345';'6761'
'BE345';'6762'
'BE345';'6767'
'BE345';'6769'
'BE345';'6810'
'BE345';'6811'
'BE345';'6812'
'BE345';'6813'
'BE345';'6820'
'BE345';'6821'
'BE345';'6823'
'BE345';'6824'
'BE328';'7780'
'BE213';'2321'
